título,título google,autor,author google,nro citas,observación
Identificación de Patrones de Reutilización de Requisitos de Sistemas de Información,Identificación de Patrones de Reutilización de Requisitos de Sistemas de Información.,"A. Durán Toro, A. Ruiz Cortés, R. Corchuelo Gil, M. Toro Bonilla. ","AD Toro, AR Cortés, R Corchuelo, MT Bonilla - WER, 2000 - academia.edu",5,-
"Ferramenta de Apoio aos Processos da Engenharia de Requisitos, nas Fases de Projetos","Ferramenta de Apoio aos Processos da Engenharia de Requisitos, nas Fases de Projetos.","Edna Pacheco Zanlorenci, Robert Carlisle Burnett. ","EP Zanlorenci, RC Burnett - WER, 2000 - inf.puc-rio.br",4,-
Uso de Patrones en la Construcción de Escenarios,Uso de Patrones en el Proceso de Construcción de Escenarios,"Marcela Ridao, Jorge Doorn, Julio César Sampaio do Prado Leite. ",PC de Escenarios - pdfs.semanticscholar.org,0,-
Non-Functional Requirements for Object-Oriented Modeling,Non-Functional Requirements for Object-Oriented Modeling.,"Jaime de Melo Sabát Neto, Julio Cesar Sampaio do Prado Leite, Luiz Márcio Cysneiros. ","JDMS Neto, JCS do Prado Leite, LM Cysneiros Filho - WER, 2000 - researchgate.net",13,-
O Uso do Framework NFR no Projeto de Banco de Dados,O Uso do Framework NFR no Projeto de Banco de Dados Distribuído,"Márcia Santos, Maria Lencastre, Jaelson Brelaz de Castro, Décio Fonseca. ","M Santos, M Lencastre, JB de Castro, D Fonseca - Citeseer",,-
Inspección Del Lexico Extendido Del Lenguaje,Inspección del lexico extendido del lenguaje,"Gladys N. Kaplan, Graciela D.S. Hadad, Jorge H. Doorn, Julio C. S. P. Leite. ","GN Kaplan, GDS Hadad, JH Doorn… - 2000 - repositorio.ub.edu.ar",45,-
"HeAR, Una herramienta de Adquisición de Requistos","HeAR, Una herramienta de Adquisición de Requistos.","Laura Petersen, Stella Tornabene, María Carmen Leonardi, Jorge Doorn. ","L Petersen, S Tornabene, MC Leonardi, JH Doorn - WER, 2000 - inf.puc-rio.br",1,-
Desenvolvendo Use Cases a partir de Modelagem Organizacional,Desenvolvendo Use Cases a partir de Modelagem Organizacional.,"Victor F.A. Santander, Jaelson F. B. Castro. ","VFA Santander, J Castro - WER, 2000 - wer.inf.puc-rio.br",29,-
Formal and Informal Aspects of Requirements Tracing,Formal and Informal Aspects of Requirements Tracing.,"Francisco A. C. Pinheiro, . ","FAC Pinheiro - WER, 2000 - wer.inf.puc-rio.br",51,-
Prototipado de interfaces de usuario a partir de escenarios y modelos UML1,Prototipado de interfaces de usuario a partir de escenarios y modelos UML.,"Juan Sánchez Díaz, Alberto Aparicio Vila, Oscar Pastor López, Juan Jose Fons. ","JS Díaz, AA Vila, O Pastor, JJ Fons - WER, 2000 - inf.puc-rio.br",1,-
From Early Requirements Modeled by the i* Technique to Later Requirements Modeled in Precise UML,From Early Requirements Modeled by the i* Technique to Later Requirements Modeled in Precise UML.,"Fernanda Alencar, Jaelson Castro, Gilberto Cysneiros , John Mylopoulos. ","FMR Alencar, J Castro, GA Cysneiros Filho… - WER, 2000 - researchgate.net",55,-
Requirements Engineering for COTS Selection,Requirements Engineering for COTS Selection.,"Carina Frota Alves, Fernanda M. R. de Alencar, Jaelson F. B. Castro. ","CF Alves, FMR Alencar, J Castro - WER, 2000 - Citeseer",23,-
Producción del LEL en un Dominio Técnico. Informe de un caso.,Producción del LEL en un Dominio Técnico. Informe de un caso.,"Gustavo D. Gila, Daniel Arias Figueroa, Alejandro Oliveros. ","GD Gila, DA Figueroa, A Oliveros - WER, 2000 - inf.puc-rio.br",12,-
O Uso de Workflow para Apoiar a Elicitação de Requisitos,O uso de Workflow para apoiar a elicitação de requisitos,"Lis Ângela De Bortoli, Ana Maria de Alencar Price. ","LÂ De Bortoli, AM de Alencar Price - WER-Workshop de …, 2000 - wer.inf.puc-rio.br",15,-
