título,autor,citas,observación
Uma Análise das Características de Especificação de Requisitos de Software em Normas de Ambientes Regulados.,JC Marques ,3,no encontrado
Requirements communication in safety-critical systems,"J Vilela, J Castro, LEG Martins, T Gorschek… ",5,no encontrado
Um processo para elicitar requisitos de software em projeto de implantação de ERP para empresas com unidades autônomas e diferentes culturas …,"HGP Hitzschky, VL Gava ",0,no encontrado
Privacy and Security in Requirements Engineering: Results from a Systematic Literature Mapping.,"D Netto, MM Peixoto, C Silva ",6,no encontrado
The PRISE Tool to Support iStar Extensions.,"EJT Gonçalves, T Heineck, L de Oliveira, J Araújo… ",1,no encontrado
Críticas Cognitivas a Heurísticas Orientadas a Modelos.,"JH Doorn, GDS Hadad, MC Elizalde, ARG García… ",2,no encontrado
iStar4Safety: Uma Extensão de iStar para Modelagem de Requisitos de Segurança em Sistemas Críticos.,"M Ribeiro, J Castro, J Vilela, J Pimentel ",3,no encontrado
O uso de modelos de processos de negócio e de modelagem organizacional em metodologias ágeis: uma revisão sistemática da literatura.,"CT Outa, VFA Santander ",2,no encontrado
Aplicação da Etnografia no Contexto de Fábrica de Software na Perspectiva da Engenharia de Requisitos.,"L Souza, E Miranda, M Lucena, A Gomes ",1,no encontrado
Raciocinando sobre a propagação de impactos em mode-los de metas através de Redes de Petri,"RF de Oliveira, JCS do Prado Leite ",2,no encontrado
Identificando cenários de conflitos na Engenharia de Requisitos visando aplicação da Comunicação Não Violenta.,"AF Barbosa, M Lencastre ",3,no encontrado
Relacionando requisitos de software e competências de recursos humanos através de modelos organizacionais,"HP Sousa, EK Almentero, JCS do Prado Leite ",2,no encontrado
Métricas de tamanho de software com métodos ageis no setor público: uma revisao sistemática,"A Mendonça, F Alencar ",2,no encontrado
Evaluación de Variantes de Inspección en un Modelo Léxico.,"A Sebastián, GDS Hadad, D Raffo ",0,no encontrado
Uso de Metodologias Criativas no Processo de Ensino da Disciplina Engenharia de Requisitos.,"P Mergulhão, M Lencastre, M Soares, R Almeida… ",2,no encontrado
Laboratório da CNV: Um jogo digital para compreender a Comunicação Não Violenta.,"CLF de Lima, CB de Andrade, AF Barbosa… ",0,no encontrado
JGOOSE: Uma ferramenta para derivar casos de uso a partir de modelos em i* e BPMN.,"VA Pozzan, VFA Santander ",1,no encontrado
Uso das Metodologias Ativas na Engenharia de Requisitos,-,-,-
